,rawName,newName
0,<20_4924>0000000010000000000000000000000010000000000000000000010000000010000000000000000000000000000001000000000000001000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010100000000000000010001000010000000000000110000000001000000000000000000000000000000100010000000000001000100000000000000000000000000000000000,<20_4924>_0
1,<20_4924>0000000010000000000000000000000010000000000000000000010000000010000000000000000000000000000001000000000000001000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010100000000000000010001000010000000000000110000000001000000000000000000000000000000100010000000000001000100000000000000000000010000000000000,<20_4924>_1
2,<20_4924>0000000010000000000000000000000010000000000000000000010000000010000000000000000000000000000001000000000000001000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010100000000000000010001000010000000000000110000000001000000000000000000000000000000100010000000000001000100000000000000001000000000000000000,<20_4924>_2
3,<20_4924>0000000010000000000000000000000010000000000000000000010000000010000000000000000000000000000001000000000000001000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010100000000000000010001000010000000001000000100000000000010000000000100000000000100000000000000000000000000000000010000000000000000000000000,<20_4924>_3
4,<25_384>1000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000000000001010000000001001000000001000000010000010000000010001000001000000000000000000000000000000000000000000001000000000000010010000000000000000000000000000000000000001000010000000001000000000000000000000000000000000000000000000000010000000000100000000000100000000000000000000000000001000000000000000000000000,<25_384>_0
5,<25_384>1000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000000000001010000000001001000000001000000010000010000000010001000001000000000000000000000000000000000000000000001000000000000010010000000000000000000000000000000000000001000010000000001000000000000000000000000000000000000000000000000010000000000110000000000000000000000000000000010000000000100000000000000000000,<25_384>_1
6,<25_384>1000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000000000001010000000001001000000001000000010000010000000010001000001000000000000000000000000000000000000000000001000000110000000100000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000010000000000000000000000000001100000000000000000000000000000000000000000000100000000000000,<25_384>_2
7,<25_384>1000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000000000001010000000001001000000001000000010000010000000010001000001000000000000000000000000000000000000000000001000000110000000100000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,<25_384>_3
8,<25_384>1000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000000000001010000000001001000000001000000010000010000000010001000001000000000000000000000000000000000000000000001000000110000000100000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000011000000000000000000000000000000000000000000000000000000000000000001000000000000010000000,<25_384>_4
9,<25_384>1000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000000000001010000000001001000000001000000010000010000000010001000001000000000000000000000000000000000000000000001000000110000000100000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000011000000000000000000000000000000000000000000000000000000000000000001000000000000010000100,<25_384>_5
10,<25_384>1000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000000000001010000000001001000000001000000010000010000000010001000001000000000000000000000000000000000000000000001000000110000000100000000000000000000000000000000001000000000000100000000000000000000000000000000000000000010000000000000100000000000100000000000000000000000001000000000001000000000000000000000000000,<25_384>_6
11,<26_543>0000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000010000000000000000000000100000000100000000000000001000000000000000000100000000000000000000000000000000000000010100000000000000000000000000000000000001000000000000000000001100000000000000000000010000000000000000000000000000000000000000000010000000000000,<26_543>_0
12,<26_543>0000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000010000000000000000000000100000000100000000000000001000000000000000000100000000000000000000000000000000000000010100000000000000000000000000000000000001000000000000000000001100000000000000000000010000000000000000000000000000000100000000000000000000000000,<26_543>_1
13,<26_543>0000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000010000000000000000000000100000000100000000000000001000000000000000000100000000000000000000000000000000000000010100000000000000000000000000000000000001000000000000000000001100000000000000000000010000000000000000000000000000000100000000100000000000000000,<26_543>_2
14,<26_543>0000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000010000000000000000000000100000000100000000000000001000000000000000000100000000000000000000000000000000000000010100000000000000000000000000000000000001000000000000000000001100000000000000000000010000000000000000000000000000000100000000100000000000100000,<26_543>_3
15,<26_543>0000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000010000000000000000000000100000000100000000000000001000000000000000000100000000000000000000000000000000000000010100000000000000000000000000000000000001000000000000000000001100000000000000000000010000000000000000000000000000000100000100000000000000000000,<26_543>_4
16,<26_543>0000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000010000000000000000000000100000000100000000000000001000000000000000000100000000000000000000000000000000000000010100000000000000000000000000000000000001000000000000000000001100000000000000000000010000000000000000000000000000100001000000000000000001000000,<26_543>_5
17,<26_543>0000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000010000000000000000000000100000000100000000000000001000000000000000000100000000000000000000000000000000000000010100000000000000000000000000000000000001000000000000000000001100000000000010001000000000000000001000000000000000000000000000011000100000000000,<26_543>_6
18,<26_543>0000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000010000000000000000000000100000000100000000000000001000000000000000000100000000000000000000000000000000000000010100000000000000000000000000000000000001000000000000000000001100000000000010001000000000000000001000000000000001000000000000000000000000000000,<26_543>_7
19,<26_543>0000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000010000000000000000000000100000000100000000000000001000000000000000000100000000000000000000000000000000000000010100000000000000000000000000000000000001000000000000000000001100000000000010001000000000000000001000000000000001000000000000000100000000000000,<26_543>_8
