,rawName,newName
0,<26_272>1000001000000000000010000000000000001000000000100000000000000000010000000000000000000000000001000000000000001000000000000000000000000010000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010100000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,<26_272>_0
1,<26_272>1000001000000000000010000000000000001000000000100000000000000000010000000000000000000000000001000000000000001000000000000000000000000010000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010100000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000,<26_272>_1
2,<26_272>1000001000000000000010000000000000001000000000100000000000000000010000000000000000000000000001000000000000001000000000000000000000000010000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010100000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000,<26_272>_2
3,<26_272>1000001000000000000010000000000000001000000000100000000000000000010000000000000000000000000001000000000000001000000000000000000000000010000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010100000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000,<26_272>_3
4,<26_272>1000001000000000000010000000000000001000000000100000000000000000010000000000000000000000000001000000000000001000000000000000000000000010000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010100000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001000000,<26_272>_4
5,<26_272>1000001000000000000010000000000000001000000000100000000000000000010000000000000000000000000001000000000000001000000000000000000000000010000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010100000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000,<26_272>_5
6,<26_272>1000001000000000000010000000000000001000000000100000000000000000010000000000000000000000000001000000000000001000000000000000000000000010000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010100000000000000000000010000000010000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000,<26_272>_6
7,<26_272>1000001000000000000010000000000000001000000000100000000000000000010000000000000000000000000001000000000000001000000000000000000000000010000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010100000000000000000000010000000010000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000100000000000000000,<26_272>_7
8,<26_272>1000001000000000000010000000000000001000000000100000000000000000010000000000000000000000000001000000000000001000000000000000000000000010000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010100000000000000000000010000000010000000000000000000000000000000000000000000000000000000000101000000000000000000000000000000000000000000000000000,<26_272>_8
9,<27_972>0000010000000000000000100000000000000000000000000000000000100000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100001000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000,<27_972>_0
