,muts
0,0
1,1
2,2
3,3
4,4
5,5
6,9
7,11
8,12
9,14
10,16
11,18
12,20
13,21
14,22
15,23
16,25
17,27
18,28
19,29
20,33
21,34
22,35
23,37
24,38
25,51
26,56
27,68
28,69
29,70
30,77
31,78
32,79
33,81
34,86
35,88
36,91
37,97
38,6212
39,12820
40,28488
41,43567
42,44307
43,95936
44,97279
45,111755
46,126765
47,162631
48,169980
49,223519
50,266061
51,297686
52,309040
53,315559
54,317555
55,344099
56,379665
57,409860
58,445189
59,449993
60,455199
61,464014
62,494766
63,512263
64,520861
65,525697
66,530403
67,532257
68,543067
69,543590
70,563870
71,567987
72,574613
73,597085
74,605958
75,606314
76,606812
77,616358
78,644094
79,649558
80,660766
81,668754
82,670948
83,678831
84,683178
85,688158
86,696941
87,707882
88,711788
89,713851
90,735526
91,744991
92,755142
93,765663
94,771848
95,779461
96,787816
97,799280
98,814901
99,817800
100,822679
101,824399
102,828176
103,841406
104,850377
105,859320
106,863901
107,869202
108,876865
109,878971
110,889982
111,890798
112,896101
113,900928
114,901380
115,908763
116,909612
117,913147
118,917298
119,918584
120,931271
121,935311
122,935897
123,936261
124,939922
125,969148
126,975997
127,982364
128,983119
129,984006
130,986520
131,988519
132,989248
133,995293
134,1001963
135,1006139
136,1017435
137,1018342
138,1030472
139,1033261
140,1040193
141,1046513
142,1053199
143,1053735
144,1054507
145,1054894
146,1057804
147,1077342
148,1080881
149,1083644
150,1090385
151,1095537
152,1097477
153,1098593
154,1098794
155,1100038
156,1103325
157,1110570
158,1114468
159,1115007
160,1116325
161,1119334
162,1119860
163,1120599
164,1122337
165,1126708
166,1127378
167,1133976
168,1135175
169,1136269
170,1148226
171,1149765
172,1152995
173,1152996
174,1156243
175,1158058
176,1158351
177,1158728
178,1159380
179,1172814
180,1173065
181,1173752
182,1174672
183,1186968
184,1189141
185,1193080
186,1193672
187,1193809
188,1194843
189,1194844
190,1194946
191,1195198
192,1196874
193,1202714
194,1203069
195,1204997
196,1205699
197,1209298
198,1215130
199,1215348
200,1215489
201,1216689
202,1216877
203,1217540
204,1217541
205,1221413
206,1225485
207,1230446
208,1233374
209,1233994
210,1234587
211,1236243
212,1237262
213,1243849
214,1246679
215,1250237
216,1252731
217,1257722
218,1258119
219,1258333
220,1259431
221,1262842
222,1265278
223,1268126
224,1268296
225,1269436
226,1269990
227,1273941
228,1274796
229,1275627
230,1275908
231,1276118
232,1280552
233,1285996
234,1286692
235,1289766
236,1291945
237,1291946
238,1292361
239,1292460
240,1295023
241,1296381
242,1297376
243,1298325
244,1300462
245,1302952
246,1304593
247,1305385
248,1306688
249,1307959
250,1309485
251,1310144
252,1310681
253,1311468
254,1311552
255,1313533
256,1313582
257,1313636
258,1313914
259,1314205
260,1314270
261,1316383
262,1316516
263,1318487
264,1318768
265,1320779
266,1322066
267,1323486
268,1323972
269,1324572
270,1324739
271,1327469
272,1327620
273,1330067
274,1331550
275,1333249
276,1335255
277,1335316
278,1337492
279,1339098
280,1341105
281,1342318
282,1342785
283,1344281
284,1344737
285,1344978
286,1348085
287,1348838
288,1348981
289,1349295
290,1350160
291,1351274
292,1352577
293,1354691
294,1355058
295,1356928
296,1356970
297,1358573
298,1358810
299,1358811
300,1359120
301,1359269
302,1360247
303,1361481
304,1362049
305,1362486
306,1364280
307,1364296
308,1365894
309,1369083
310,1369882
311,1371051
312,1372330
313,1372382
314,1372506
315,1372634
316,1373188
317,1374077
318,1374271
319,1374589
320,1376113
321,1376334
322,1376335
323,1378729
324,1379548
325,1380054
326,1380248
327,1380456
328,1381436
329,1382826
330,1383069
331,1383353
332,1383747
333,1383752
334,1384142
335,1384472
336,1385983
337,1386214
338,1388242
339,1388612
340,1388768
341,1389110
342,1389626
343,1389663
344,1390426
345,1390777
346,1390780
347,1391240
348,1392377
349,1392454
350,1392958
351,1394667
352,1395207
353,1395527
354,1395922
355,1396851
356,1397295
357,1398759
358,1399068
359,1399760
360,1400518
361,1400872
362,1401377
363,1401476
364,1401609
365,1401891
366,1402597
367,1403665
368,1404170
369,1405126
370,1405333
371,1405635
372,1405703
373,1406065
374,1406099
375,1406609
376,1409327
377,1409441
378,1410462
379,1410840
380,1410875
381,1410879
382,1411213
383,1412159
384,1412704
385,1412939
386,1413354
387,1414023
388,1414115
389,1415572
390,1415843
391,1416271
392,1417569
393,1417574
394,1417766
395,1418029
396,1418742
397,1418881
398,1419432
399,1419911
400,1420905
401,1423777
402,1424233
403,1424664
404,1425272
405,1426485
406,1426944
407,1426970
408,1427745
409,1428283
410,1430131
411,1430338
412,1430556
413,1430915
414,1431522
415,1431933
416,1432679
417,1433203
418,1433820
419,1433916
420,1434056
421,1436533
422,1437411
423,1437627
424,1437649
425,1438581
426,1438763
427,1438801
428,1438937
429,1439006
430,1439900
431,1439964
432,1440210
433,1440231
434,1440932
435,1441353
436,1441360
437,1441883
438,1441970
439,1441989
440,1442451
441,1442977
442,1442992
443,1442994
444,1443277
445,1444411
446,1446027
447,1446359
448,1446628
449,1447152
450,1447714
451,1448134
452,1448303
453,1448460
454,1449045
455,1451912
456,1452535
457,1452748
458,1453108
459,1453299
460,1453956
461,1454129
462,1454415
463,1454491
464,1454494
465,1454856
466,1455206
467,1455241
468,1455383
469,1455517
470,1455725
471,1455844
472,1455879
473,1456653
474,1456788
475,1457042
476,1457350
477,1458022
478,1458036
479,1458386
480,1459004
481,1459349
482,1459568
483,1459569
484,1459589
485,1459670
486,1459914
487,1459952
488,1459978
489,1460086
490,1460150
491,1460597
492,1460726
493,1460735
494,1461509
495,1461778
496,1461970
497,1462475
498,1464062
499,1464068
500,1464363
501,1464521
502,1464522
503,1465154
504,1465696
505,1465915
506,1466135
507,1466573
508,1466665
509,1466682
510,1466906
511,1467586
512,1467867
513,1467987
514,1468153
515,1468729
516,1469111
517,1469616
518,1470062
519,1470177
520,1470334
521,1470823
522,1471116
523,1471233
524,1472084
525,1472164
526,1472676
527,1472870
528,1473105
529,1473621
530,1473634
531,1473818
532,1474323
533,1474325
534,1474350
535,1474545
536,1474818
537,1475214
538,1475571
539,1476192
540,1477111
541,1477206
542,1477226
543,1477261
544,1477581
545,1477664
546,1477697
547,1479150
548,1479154
549,1479257
550,1479427
551,1479519
552,1479712
553,1479756
554,1480136
555,1480998
556,1481422
557,1481858
558,1482453
559,1482670
560,1482706
561,1483053
562,1483126
563,1483319
564,1483436
565,1483721
566,1484008
567,1484182
568,1484641
569,1484724
570,1484790
571,1484875
572,1485303
573,1485384
574,1486092
575,1486158
576,1486289
577,1486290
578,1486869
579,1487399
580,1487777
581,1487984
582,1489153
583,1489992
584,1490154
585,1490516
586,1490694
587,1491321
588,1491404
589,1491694
590,1491857
591,1492156
592,1492637
593,1493250
594,1493257
595,1493258
596,1493488
597,1493706
598,1494234
599,1494487
600,1495051
601,1495354
602,1495627
603,1495787
604,1495924
605,1496285
606,1496614
607,1496640
608,1496915
609,1497079
610,1497123
611,1497249
612,1497255
613,1497342
614,1497848
615,1497849
616,1497902
617,1497908
618,1497917
619,1498335
620,1498526
621,1498605
622,1499359
623,1499436
624,1499862
625,1500103
626,1500232
627,1500237
628,1501446
629,1502012
630,1502753
631,1502859
632,1502890
633,1502894
634,1502932
635,1502969
636,1503084
637,1503690
638,1503701
639,1503731
640,1504672
641,1504769
642,1504799
643,1505048
644,1505049
645,1506029
646,1506077
647,1506144
648,1506546
649,1506579
650,1506631
651,1507025
652,1507072
653,1507081
654,1507104
655,1507127
656,1507309
657,1507675
658,1507791
659,1507817
660,1508077
661,1508224
662,1508272
663,1508731
664,1508739
665,1508985
666,1509221
667,1509261
668,1509394
669,1509529
670,1509606
671,1510211
672,1510264
673,1510321
674,1510349
675,1510507
676,1510508
677,1510540
678,1510648
679,1510731
680,1510791
681,1511386
682,1511623
683,1511986
684,1512476
685,1512484
686,1512649
687,1512819
688,1512822
689,1513013
690,1513073
691,1513867
692,1514388
693,1514757
694,1514844
695,1515094
696,1515213
697,1515231
698,1515255
699,1515856
700,1515892
701,1516174
702,1516175
703,1516388
704,1516389
705,1516552
706,1516597
707,1516598
708,1516680
709,1516766
710,1516945
711,1516946
712,1516996
713,1517328
714,1517358
715,1517359
716,1517902
717,1517943
718,1518254
719,1518505
720,1518681
721,1518719
722,1518941
723,1518948
724,1519096
725,1519372
726,1519499
727,1519511
728,1519515
729,1519818
730,1519949
731,1520250
732,1520502
733,1520812
734,1521415
735,1521691
736,1521741
737,1521976
738,1522386
739,1522472
740,1522729
741,1522926
742,1523220
743,1523229
744,1523281
745,1523416
