,muts
0,0
1,1
2,2
3,5
4,7
5,8
6,9
7,10
8,11
9,12
10,14
11,15
12,16
13,17
14,19
15,20
16,21
17,22
18,23
19,24
20,25
21,26
22,27
23,28
24,29
25,30
26,31
27,32
28,33
29,34
30,35
31,36
32,37
33,38
34,40
35,41
36,45
37,46
38,47
39,48
40,49
41,50
42,51
43,52
44,53
45,54
46,55
47,56
48,58
49,60
50,61
51,62
52,63
53,64
54,66
55,67
56,69
57,70
58,71
59,72
60,73
61,74
62,75
63,76
64,77
65,78
66,79
67,80
68,81
69,83
70,86
71,89
72,90
73,91
74,92
75,94
76,95
77,96
78,97
79,98
80,99
81,100
82,101
83,1302
84,1309
85,1315
86,1859
87,1937
88,2487
89,2647
90,2835
91,3967
92,3968
93,4303
94,4924
95,5059
96,5859
97,6697
98,6733
99,7235
100,7259
101,7260
102,7367
103,8243
104,8720
105,8844
106,8936
107,9699
108,9843
109,9885
110,10564
111,11179
112,13074
113,17240
114,23816
115,26618
116,29923
117,32287
118,33441
119,38294
120,40749
121,45839
122,47763
123,49293
124,51228
125,52635
126,54235
127,54675
128,55682
129,58318
130,58377
131,60766
132,61477
133,65134
134,68953
135,72325
136,76355
137,76755
138,78768
139,79441
140,81804
141,91099
142,95486
143,96580
144,97293
145,99388
146,101696
147,103090
148,103336
149,103981
150,106712
151,107989
152,111590
153,112749
154,113312
155,114649
156,116549
157,120741
158,121413
159,121664
160,125545
161,130319
162,130783
163,132736
164,138921
165,139926
166,143154
167,145864
168,146062
169,151882
170,156099
171,158876
172,162946
173,165749
174,169287
175,169995
176,171622
177,171717
178,172662
179,173577
180,173693
181,175854
182,177164
183,178339
184,179827
185,185086
186,185770
187,185948
188,186648
189,189978
190,190593
191,191612
192,192738
193,194359
194,196470
195,199207
196,202847
197,203012
198,207564
199,214197
200,214754
201,218552
202,221653
203,222182
204,222828
205,227387
206,227591
207,227933
208,228410
209,229414
210,232957
211,234069
212,238300
213,239498
214,239582
215,241264
216,248515
217,250223
218,250765
219,250935
220,255762
221,257853
222,259987
223,261070
224,261211
225,261491
226,262304
227,263673
228,267671
229,270788
230,274401
231,276824
232,280395
233,281246
234,286133
235,288223
236,291510
237,294548
238,295461
239,295735
240,298027
241,299770
242,299876
243,301075
244,302441
245,302613
246,307703
247,308546
248,308948
249,309931
250,311633
251,313196
252,314170
253,318930
254,320939
255,323508
256,324539
257,329257
258,329525
259,330081
260,330231
261,332848
262,334498
263,334824
264,334852
265,335700
266,338106
267,338113
268,339945
269,342760
270,344629
271,345465
272,352615
273,353827
274,354066
275,355411
276,358068
277,361020
278,362306
279,365149
280,367200
281,368116
282,370794
283,371214
284,373274
285,375246
286,377523
287,378699
288,380150
289,381986
290,382696
291,384783
292,389190
293,390492
294,391652
295,394036
296,394693
297,395057
298,398211
299,398879
300,399238
301,402178
302,403432
303,405018
304,405163
305,405721
306,408988
307,409139
308,409323
309,414189
310,414965
311,418881
312,419889
313,419936
314,421365
315,421537
316,423553
317,426466
318,430680
319,430898
320,431019
321,431573
322,434011
323,434512
324,435689
325,436096
326,436830
327,438840
328,440004
329,442152
330,443668
331,443846
332,444403
333,444891
334,445573
335,445849
336,447132
337,447144
338,447783
339,450152
340,450429
341,452617
342,454384
343,456453
344,456789
345,457086
346,457927
347,459068
348,461653
349,462478
350,463615
351,464059
352,466356
353,469173
354,469472
355,470016
356,471382
357,473261
358,473276
359,473554
360,474427
361,475474
362,477737
363,477908
364,481104
365,481820
366,483386
367,483542
368,485125
369,485839
370,486166
371,489883
372,490849
373,493363
374,494115
375,494213
376,495704
377,496453
378,498309
379,499818
380,500127
381,500571
382,505099
383,505481
384,510302
385,511010
386,511457
387,515134
388,515712
389,515927
390,516256
391,517678
392,519061
393,519241
394,519784
395,520658
396,523873
397,527045
398,527504
399,530271
400,530345
401,531134
402,531851
403,533299
404,534941
405,536035
406,537669
407,539964
408,542287
409,543299
410,545263
411,545264
412,546342
413,546700
414,547478
415,549014
416,550148
417,552017
418,553208
419,554145
420,555690
421,557106
422,559704
423,559996
424,563048
425,564233
426,564334
427,565320
428,567187
429,568581
430,569266
431,569729
432,570166
433,570490
434,573459
435,573902
436,575214
437,577560
438,578077
439,578757
440,581773
441,582449
442,583743
443,587018
444,587592
445,590079
446,590827
447,590986
448,591640
449,592920
450,593310
451,593679
452,598547
453,599561
454,602283
455,604419
456,604426
457,605156
458,605655
459,605722
460,606652
461,611559
462,614127
463,614203
464,614291
465,615649
466,616676
467,616713
468,617764
469,619454
470,621262
471,622173
472,622274
473,622511
474,622609
475,623784
476,623991
477,624092
478,625081
479,625644
480,625688
481,626909
482,629634
483,631090
484,631291
485,631584
486,633542
487,633547
488,636233
489,636524
490,637230
491,637869
492,638417
493,638567
494,639424
495,642211
496,642647
497,644602
498,645252
499,647160
500,648690
501,648801
502,649118
503,649713
504,650198
505,650214
506,652886
507,653024
508,653055
509,655543
510,655832
511,656034
512,657011
513,657311
514,657465
515,657920
516,658338
517,658828
518,659856
519,660674
520,661358
521,662389
522,662537
523,666893
524,668054
525,669131
526,669863
527,670309
528,670326
529,671175
530,672639
531,672715
532,673749
533,674641
534,674726
535,676806
536,677816
537,679729
538,681233
539,681366
540,683023
541,685531
542,687231
543,688624
544,688749
545,689210
546,689860
547,691037
548,691052
549,691195
550,691282
551,691590
552,693565
553,695453
554,698053
555,698776
556,700534
557,702378
558,703870
559,703901
560,703937
561,705199
562,707099
563,707329
564,708837
565,709002
566,709599
567,711422
568,712028
569,712421
570,712531
571,713422
572,714122
573,714205
574,715370
575,715595
576,721289
577,721798
578,722789
579,722971
580,724178
581,724223
582,725332
583,725958
584,728779
585,728871
586,730327
587,730664
588,732259
589,732451
590,732731
591,732899
592,732990
593,733455
594,733598
595,734596
596,734976
597,736107
598,737424
599,738495
600,741374
601,742537
602,745118
603,745587
604,745657
605,745907
606,747813
607,748197
608,749815
609,750460
610,751556
611,753273
612,754056
613,755977
614,756708
615,757009
616,757364
617,759184
618,760104
619,760695
620,761153
621,761351
622,761462
623,761533
624,761789
625,762515
626,762921
627,763278
628,764086
629,764190
630,764723
631,764775
632,765061
633,766003
634,766111
635,766474
636,768062
637,768684
638,769302
639,770823
640,771707
641,772103
642,772165
643,773888
644,774886
645,774946
646,775537
647,776369
648,777227
649,777947
650,778919
651,780048
652,780551
653,781027
654,781566
655,783278
656,783660
657,784040
658,784159
659,786017
660,787543
661,788104
662,788382
663,788976
664,789332
665,789522
666,789523
667,791349
668,792406
669,792952
670,795781
671,796025
672,796170
673,797427
674,798884
675,799002
676,799136
677,801165
678,801970
679,802351
680,802876
681,802967
682,803122
683,803588
684,803997
685,804008
686,804605
687,805106
688,805600
689,805793
690,806748
691,807249
692,808284
693,808543
694,809264
695,809396
696,810292
697,810335
698,810709
699,811021
700,811097
701,812357
702,812736
703,813176
704,815466
705,815944
706,817005
707,817315
708,818395
709,818506
710,818777
711,819634
712,821436
713,824079
714,824170
715,824363
716,824743
717,825548
718,826900
719,827650
720,827689
721,828407
722,828658
723,828982
724,829478
725,831981
726,832014
727,832703
728,833105
729,833549
730,833903
731,834950
732,835062
733,835419
734,835784
735,837674
736,838644
737,839584
738,840293
739,840405
740,840581
741,841890
742,842579
743,843164
744,844130
745,845617
746,846725
747,846842
748,846926
749,847339
750,847534
751,848056
752,848118
753,848466
754,848620
755,848639
756,849109
757,849404
758,849955
759,851733
760,852341
761,852407
762,852507
763,853581
764,854059
765,854091
766,854354
767,855665
768,856516
769,859303
770,859966
771,860174
772,860508
773,860579
774,860639
775,861428
776,863414
777,864010
778,864624
779,865725
780,865961
781,866804
782,868282
783,869608
784,869857
785,870432
786,873650
787,873713
788,874913
789,877121
790,877302
791,879199
792,879441
793,879488
794,880585
795,881223
796,881249
797,881797
798,881863
799,882539
800,882575
801,882718
802,882734
803,883543
804,883601
805,884329
806,884902
807,885403
808,885952
809,886994
810,887538
811,887693
812,887821
813,888816
814,889874
815,889979
816,890511
817,890792
818,890794
819,893983
820,894399
821,895280
822,897337
823,898484
824,898899
825,899213
826,899719
827,901383
828,901700
829,901707
830,902366
831,903130
832,903162
833,904858
834,905139
835,906390
836,907476
837,907911
838,908143
839,908258
840,909679
841,912554
842,914266
843,914742
844,914788
845,914924
846,915024
847,915075
848,915416
849,916497
850,916503
851,916564
852,919544
853,919867
854,919995
855,921634
856,921734
857,922118
858,922265
859,922748
860,923468
861,923635
862,924830
863,925220
864,925653
865,926324
866,929143
867,929676
868,929814
869,930024
870,930194
871,930323
872,930577
873,931294
874,931658
875,932024
876,932067
877,932487
