,muts
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,18
17,19
18,20
19,21
20,22
21,23
22,24
23,25
24,27
25,28
26,29
27,30
28,31
29,32
30,33
31,34
32,35
33,36
34,37
35,38
36,39
37,40
38,41
39,42
40,44
41,45
42,46
43,47
44,48
45,49
46,50
47,51
48,53
49,54
50,55
51,56
52,57
53,58
54,59
55,60
56,61
57,62
58,63
59,65
60,66
61,67
62,68
63,69
64,70
65,71
66,72
67,73
68,76
69,77
70,78
71,79
72,80
73,81
74,82
75,83
76,85
77,86
78,88
79,89
80,91
81,92
82,93
83,94
84,95
85,96
86,97
87,98
88,99
89,100
90,101
91,102
92,103
93,104
94,1893
95,3534
96,3565
97,3888
98,4564
99,4706
100,4755
101,6212
102,7046
103,7082
104,8190
105,8228
106,9684
107,9685
108,9686
109,9687
110,9692
111,9730
112,10203
113,11752
114,12080
115,12081
116,14057
117,14760
118,14864
119,15761
120,15827
121,19095
122,23210
123,23316
124,24399
125,25431
126,26796
127,27202
128,27408
129,29614
130,30769
131,30922
132,36207
133,36773
134,37686
135,40264
136,50015
137,50160
138,54286
139,56620
140,56956
141,57075
142,57641
143,59660
144,59724
145,63368
146,68090
147,70990
148,78408
149,79271
150,80803
151,81716
152,85985
153,87459
154,87462
155,88218
156,91926
157,92048
158,95999
159,102144
160,102689
161,104219
162,107922
163,108352
164,108738
165,109291
166,110799
167,122109
168,122505
169,122709
170,127175
171,131346
172,132178
173,132688
174,134153
175,141139
176,143851
177,144439
178,149189
179,150363
180,151128
181,153448
182,154056
183,154850
184,155097
185,159885
186,160468
187,160954
188,162071
189,166684
190,166698
191,171072
192,173509
193,174891
194,178532
195,191939
196,192747
197,193321
198,196693
199,199734
200,202037
201,205313
202,205558
203,207945
204,209879
205,210440
206,210993
207,213254
208,214818
209,220807
210,221587
211,222042
212,232878
213,233677
214,234297
215,236855
216,243612
217,243695
218,243730
219,244989
220,245142
221,245618
222,245619
223,251760
224,252840
225,253555
226,260075
227,260251
228,260571
229,260854
230,263424
231,272640
232,273799
233,274269
234,274685
235,275549
236,275718
237,276442
238,277149
239,280812
240,283593
241,284381
242,287523
243,290289
244,292779
245,297942
246,299617
247,307114
248,307280
249,307289
250,307644
251,310932
252,313724
253,319128
254,319589
255,319703
256,320799
257,321943
258,321949
259,322930
260,331757
261,333112
262,333979
263,337317
264,338013
265,340001
266,341493
267,342824
268,344020
269,346161
270,346737
271,347094
272,347458
273,348766
274,351100
275,351708
276,352624
277,352625
278,356369
279,356882
280,361106
281,362353
282,363585
283,365137
284,366419
285,369935
286,374586
287,375036
288,375734
289,376633
290,376946
291,378660
292,378914
293,380768
294,381539
295,383432
296,385148
297,385536
298,386417
299,389840
300,393234
301,399707
302,400182
303,400236
304,400363
305,401557
306,404213
307,406619
308,412329
309,412369
310,415872
311,416661
312,416794
313,416892
314,417022
315,421840
316,423908
317,428322
318,431400
319,432439
320,433193
321,433649
322,434369
323,434656
324,434685
325,436984
326,440118
327,440412
328,440438
329,440922
330,442180
331,443498
332,443541
333,446265
334,451801
335,451802
336,455436
337,457225
338,458585
339,459864
340,460698
341,462386
342,465005
343,468557
344,469852
345,472226
346,472898
347,473534
348,473785
349,474931
350,475588
351,478337
352,479458
353,480203
354,482577
355,486875
356,487476
357,488965
358,490086
359,490713
360,492074
361,492091
362,493454
363,493713
364,494045
365,494809
366,496297
367,496918
368,497516
369,497961
370,498723
371,499404
372,499468
373,499996
374,501493
375,502418
376,502540
377,502742
378,505457
379,505612
380,505613
381,507031
382,510514
383,510547
384,510577
385,511059
386,511101
387,513611
388,518834
389,519842
390,520836
391,523462
392,525327
393,529032
394,530429
395,531493
396,532141
397,532852
398,532921
399,534761
400,535352
401,537175
402,537235
403,537630
404,538216
405,541741
406,544738
407,544783
408,546079
409,548032
410,551707
411,553048
412,555296
413,558409
414,560491
415,560861
416,561426
417,569999
418,571886
419,572566
420,573611
421,573730
422,573830
423,574156
424,577701
425,577732
426,578431
427,578882
428,580152
429,580267
430,581942
431,582026
432,582766
433,583845
434,584267
435,585771
436,585974
437,588204
438,588445
439,588518
440,589156
441,590837
442,591375
443,592249
444,592326
445,593195
446,595960
447,596972
448,597888
449,598313
450,599010
451,599454
452,599883
453,600095
454,600193
455,602578
456,602838
457,603237
458,603483
459,603486
460,605058
461,607046
462,607204
463,607259
464,607728
465,610950
466,613806
467,614086
468,614511
469,615327
470,615768
471,616513
472,617940
473,621239
474,622782
475,624886
476,626248
477,626491
478,628712
479,629423
480,630207
481,630312
482,631023
483,631091
484,631769
485,632301
486,633713
487,634553
488,636053
489,636657
490,638610
491,639539
492,640912
493,641235
494,641698
495,641844
496,641882
497,641888
498,641982
499,642600
500,642784
501,643395
502,645054
503,646530
504,646540
505,646868
506,647952
507,648663
508,649037
509,653033
510,653698
511,654053
512,654719
513,656336
514,656560
515,656654
516,656879
517,657404
518,657693
519,657811
520,658885
521,659055
522,659243
523,659380
524,660001
525,660689
526,661741
527,661887
528,663168
529,663385
530,664120
531,664244
532,665179
533,666287
534,669220
535,670299
536,670647
537,671426
538,672665
539,672973
540,673153
541,673286
542,673521
543,673631
544,674204
545,674811
546,674865
547,675802
548,676507
549,679088
550,680867
551,680990
552,681030
553,681382
554,681385
555,682428
556,686407
557,686704
558,688643
559,690598
560,691784
561,693207
562,695009
563,698004
564,698114
565,698816
566,698829
567,699383
568,699835
569,701670
570,703771
571,704137
572,705051
573,705439
574,705643
575,706537
576,706928
577,708257
578,708986
579,709015
580,710407
581,710887
582,713409
583,714895
584,715615
585,715969
586,717150
587,718355
588,718770
589,720692
590,722212
591,722774
592,723145
593,723251
594,724658
595,725250
596,725444
597,725629
598,725883
599,727380
600,728597
601,729465
602,729926
603,730474
604,731712
605,735985
606,740128
607,740777
608,741582
609,741793
610,742765
611,742982
612,743828
613,744739
614,745448
615,745730
616,747479
617,747568
618,748153
619,748458
620,749284
621,750221
622,751224
623,752200
624,754219
625,754363
626,755915
627,756028
628,756883
629,757660
630,758596
631,759890
632,761278
633,761788
634,762651
635,762881
636,763138
637,763907
638,763932
639,765576
640,766169
641,766955
642,766956
643,770049
644,770349
645,770610
646,774552
647,775187
648,775806
649,777603
650,778008
651,778240
652,778324
653,778581
654,780501
655,781381
656,781456
657,784001
658,784391
659,785265
660,785628
661,786454
662,786646
663,787939
664,788967
665,789254
666,789776
667,791134
668,791661
669,792891
670,793578
671,794286
672,794449
673,797132
674,798083
675,798454
676,799395
677,799993
678,800246
679,800726
680,801381
681,801839
682,802163
683,804567
684,805832
685,805890
686,806507
687,808185
688,808229
689,808806
690,809282
691,809518
692,809619
693,809886
694,810039
695,811179
696,812564
697,812986
698,813463
699,813673
700,814964
701,815011
702,815792
703,816560
704,817102
705,818005
706,818233
707,819400
708,819577
709,820336
710,820339
711,820426
712,820644
713,820926
714,821650
715,821778
716,823123
717,823838
718,824503
719,825214
720,826123
721,826676
722,827214
723,827536
724,827958
725,828918
726,830538
727,831097
728,832999
729,833207
730,834070
731,834804
732,834819
733,835560
734,837544
735,838282
736,838952
737,839148
738,839434
739,839585
740,839753
741,840752
742,843798
743,844067
744,844737
745,845743
746,845862
747,847021
748,847056
749,847061
750,848106
751,848281
752,849393
753,850139
754,850623
755,852276
756,852279
757,852401
758,852503
759,853211
760,853415
761,854449
762,857452
763,860724
764,860848
765,861664
766,862847
767,863189
768,864236
769,864323
770,864632
771,865266
772,866137
773,869854
774,870099
775,870758
776,871159
777,871348
778,871599
779,871937
780,872515
781,872838
782,872990
783,874427
784,874478
785,875442
786,875688
787,875908
788,876251
789,876329
790,877231
791,879159
792,879464
793,879647
794,881470
795,882108
796,882225
797,882298
798,882347
799,882431
800,882654
801,882803
802,882892
803,883415
804,883945
805,883981
806,884494
807,885766
808,885931
809,886194
810,887157
811,888414
812,888440
813,888679
814,889391
815,889547
816,889703
817,889778
818,890098
819,890760
820,891333
821,891468
822,891987
823,892035
824,892533
825,892554
826,892713
827,894327
828,894778
829,895453
830,896063
831,896951
832,897198
833,898057
834,898129
835,899825
836,900679
837,900746
838,901413
839,902267
840,902363
841,902676
842,903563
843,904592
844,905329
845,906034
846,906510
847,906739
848,907445
849,908106
850,908186
851,908936
852,909111
853,909306
854,909511
855,909521
856,909931
857,911008
858,911279
859,911962
860,912999
861,913817
862,913996
863,914404
864,914662
865,914663
866,916356
867,916464
868,916520
869,917213
870,917818
871,918098
872,918198
873,918694
874,919593
875,920115
876,920124
877,920616
878,920829
879,921186
