,muts
0,0
1,1
2,2
3,5
4,7
5,8
6,9
7,10
8,11
9,12
10,14
11,15
12,17
13,19
14,21
15,24
16,25
17,26
18,27
19,28
20,30
21,33
22,35
23,38
24,41
25,45
26,46
27,48
28,51
29,53
30,55
31,56
32,60
33,61
34,62
35,63
36,69
37,71
38,74
39,75
40,79
41,83
42,95
43,96
44,101
45,2887
46,8720
47,46596
48,68369
49,78944
50,78945
51,82413
52,83341
53,91250
54,99762
55,106163
56,125683
57,128182
58,131328
59,161122
60,182822
61,203746
62,227802
63,258688
64,261033
65,277637
66,292512
67,293550
68,314896
69,315081
70,327987
71,330757
72,378072
73,380201
74,385495
75,400552
76,415943
77,426894
78,429136
79,429208
80,439964
81,445380
82,511714
83,518279
84,518863
85,518953
86,551017
87,556579
88,557730
89,559640
90,597683
91,607132
92,608042
93,632519
94,635478
95,637836
96,638710
97,660665
98,662175
99,663128
100,663129
101,667739
102,671626
103,688456
104,689750
105,691179
106,697006
107,708393
108,711805
109,714258
110,723678
111,726387
112,738257
113,761418
114,766346
115,774302
116,779730
117,780812
118,788916
119,788975
120,793247
121,794659
122,797520
123,808032
124,808909
125,810016
126,815076
127,825352
128,829218
129,831299
130,843329
131,844333
132,849149
133,854012
134,860299
135,881410
136,888250
137,891000
138,907160
139,914320
140,914362
141,917572
142,922640
143,925252
144,925534
145,926417
146,935779
147,937800
148,938398
149,941087
150,943580
151,943771
152,945148
153,946088
154,948533
155,950069
156,950178
157,952833
158,953289
159,956134
160,960036
161,968615
162,974596
163,975553
164,976718
165,977879
166,978825
167,979677
168,983205
169,984870
170,987787
171,994997
172,997123
173,1006852
174,1007180
175,1010479
176,1012943
177,1014844
178,1026432
179,1027344
180,1027375
181,1031914
182,1045030
183,1049795
184,1053335
185,1055241
186,1057626
187,1058044
188,1061568
189,1062189
190,1062314
191,1063714
192,1067124
193,1067331
194,1070364
195,1088122
196,1094522
197,1094745
198,1097096
199,1098137
200,1099633
201,1100937
202,1101236
203,1101609
204,1105557
205,1105956
206,1106219
207,1109075
208,1113277
209,1113570
210,1115086
211,1115499
212,1115580
213,1116611
214,1118824
215,1120488
216,1121539
217,1124386
218,1125354
219,1135899
220,1136948
221,1142453
222,1144961
223,1147934
224,1148106
225,1148400
226,1149708
227,1153363
228,1154996
229,1161408
230,1161409
231,1162676
232,1163969
233,1164002
234,1173711
235,1175206
236,1181563
237,1183964
238,1187228
239,1187694
240,1188518
241,1189849
242,1191973
243,1197097
244,1199701
245,1200153
246,1202165
247,1202267
248,1205512
249,1210380
250,1211784
251,1213885
252,1217781
253,1219175
254,1219905
255,1223522
256,1226065
257,1227994
258,1232521
259,1233463
260,1234533
261,1236540
262,1239851
263,1249349
264,1249895
265,1251532
266,1251964
267,1252499
268,1258359
269,1258985
270,1264668
271,1264978
272,1267345
273,1268658
274,1270382
275,1271097
276,1272400
277,1273219
278,1274881
279,1276114
280,1276486
281,1276760
282,1277094
283,1277457
284,1278468
285,1280144
286,1280182
287,1280656
288,1280910
289,1282412
290,1285052
291,1285200
292,1289394
293,1291646
294,1295108
295,1296492
296,1296828
297,1297409
298,1298890
299,1299570
300,1302196
301,1302259
302,1302980
303,1303183
304,1303479
305,1304286
306,1307282
307,1310087
308,1313547
309,1316873
310,1318010
311,1320440
312,1324156
313,1328161
314,1328399
315,1329150
316,1329463
317,1330380
318,1331480
319,1332573
320,1334428
321,1334461
322,1334884
323,1335969
324,1337591
325,1339540
326,1340252
327,1343216
328,1346612
329,1346613
330,1348995
331,1349187
332,1350335
333,1351376
334,1351822
335,1355753
336,1357916
337,1359268
338,1359302
339,1361911
340,1361956
341,1362813
342,1362815
343,1365484
344,1366902
345,1366927
346,1368613
347,1372129
348,1372413
349,1372756
350,1374785
351,1375197
352,1375846
353,1376294
354,1376301
355,1377977
356,1378004
357,1380091
358,1380137
359,1382986
360,1383357
361,1384477
362,1385585
363,1386152
364,1386464
365,1386636
366,1386793
367,1389370
368,1391186
369,1392221
370,1393070
371,1396153
372,1396269
373,1398084
374,1398318
375,1398382
376,1399802
377,1399856
378,1400765
379,1400907
380,1402455
381,1404563
382,1405222
383,1405817
384,1406053
385,1406130
386,1406390
387,1407387
388,1408207
389,1408971
390,1409888
391,1410278
392,1410342
393,1410779
394,1412502
395,1413261
396,1416462
397,1417151
398,1418522
399,1418743
400,1424806
401,1426246
402,1426773
403,1427284
404,1428251
405,1429221
406,1429297
407,1429445
408,1429769
409,1432093
410,1432336
411,1432408
412,1432781
413,1432913
414,1433750
415,1434853
416,1435497
417,1435633
418,1436395
419,1437097
420,1438754
421,1440216
422,1441212
423,1441694
424,1442251
425,1443671
426,1444859
427,1445276
428,1445523
429,1446305
430,1446359
431,1447876
432,1448600
433,1448726
434,1450595
435,1450608
436,1450747
437,1451650
438,1452754
439,1454296
440,1454879
441,1456339
442,1457537
443,1458513
444,1459351
445,1460073
446,1460360
447,1461035
448,1461037
449,1461765
450,1462383
451,1462385
452,1463871
453,1464470
454,1465543
455,1468329
456,1468332
457,1468932
458,1469348
459,1469896
460,1470344
461,1471699
462,1471988
463,1472051
464,1475923
465,1476088
466,1476429
467,1476949
468,1478239
469,1478814
470,1479256
471,1480788
472,1481128
473,1481307
474,1481350
475,1484221
476,1484900
477,1485875
478,1486376
479,1486733
480,1488411
481,1489080
482,1491120
483,1491340
484,1492431
485,1493641
486,1494405
487,1494669
488,1494743
489,1494847
490,1495975
491,1496022
492,1497671
493,1497672
494,1497717
495,1497746
496,1498248
497,1498696
498,1498741
499,1499248
500,1499501
501,1499777
502,1499878
503,1499950
504,1500735
505,1500809
506,1501132
507,1501283
508,1501754
509,1502199
510,1502307
511,1502754
512,1503817
513,1505526
514,1506358
515,1506747
516,1506748
517,1506794
518,1506822
519,1509080
520,1510138
521,1511554
522,1512125
523,1512255
524,1513067
525,1513405
526,1513429
527,1514359
528,1514655
529,1514698
530,1514765
531,1514812
532,1515419
533,1515750
534,1517148
535,1517595
536,1518723
537,1519141
538,1519505
539,1519854
540,1519864
541,1521743
542,1521749
543,1522016
544,1522560
545,1524260
546,1525442
547,1526448
548,1526574
549,1526709
550,1526766
551,1527189
552,1528492
553,1528670
554,1529095
555,1529720
556,1530018
557,1530617
558,1530632
559,1531243
560,1531395
561,1531670
562,1532068
563,1532185
564,1532681
565,1532904
566,1533385
567,1534052
568,1534901
569,1535680
570,1535846
571,1535992
572,1536416
573,1536508
574,1539079
575,1539195
576,1539894
577,1541319
578,1541810
579,1541939
580,1541967
581,1541993
582,1542008
583,1542013
584,1542532
585,1542921
586,1543972
587,1543995
588,1544086
589,1544160
590,1544767
591,1545769
592,1546090
593,1546300
594,1546301
595,1546653
596,1547482
597,1548776
598,1549281
599,1549718
600,1550409
601,1551533
602,1551803
603,1552361
604,1552951
605,1553597
606,1553620
607,1553698
608,1554031
609,1554500
610,1555211
611,1555434
612,1555463
613,1557074
614,1557232
615,1558053
616,1558211
617,1558432
618,1558550
619,1558744
620,1558802
621,1559003
622,1559178
623,1559229
624,1559465
625,1559488
626,1560039
627,1560450
628,1560882
629,1561456
630,1561600
631,1561965
632,1562197
633,1562397
634,1563103
635,1563818
636,1563996
637,1564834
638,1564877
639,1565328
640,1565938
641,1566533
642,1566779
643,1566956
644,1567585
645,1567953
646,1568101
647,1568102
648,1568150
649,1568403
650,1568563
651,1568715
652,1569422
653,1570004
654,1570005
655,1570097
656,1570441
657,1570452
658,1570585
659,1570902
660,1571301
661,1571517
662,1571592
663,1572626
664,1572640
665,1572693
666,1572794
667,1573090
668,1573280
669,1573282
670,1574142
671,1574870
672,1575358
673,1575851
674,1576161
675,1576169
676,1576401
677,1576439
678,1576827
679,1577339
680,1577606
681,1577702
682,1577703
683,1577813
684,1577836
685,1577942
686,1578719
687,1579206
688,1579418
689,1580083
690,1580712
691,1580815
692,1581034
693,1581040
694,1581340
695,1581771
696,1582175
697,1582691
698,1582753
699,1582783
700,1582999
701,1583127
702,1583437
703,1584117
704,1584489
705,1584884
706,1585484
707,1585755
708,1585865
709,1586003
710,1586177
711,1586236
712,1586446
713,1587004
714,1587135
715,1587522
716,1588406
717,1588618
718,1588851
719,1589634
720,1589758
721,1590036
722,1590048
723,1590278
724,1590577
725,1590751
726,1591066
727,1591340
728,1591477
729,1591674
730,1591833
731,1591984
732,1592327
733,1592637
734,1592665
735,1592777
736,1592860
737,1592935
738,1593643
739,1594043
740,1594103
741,1594595
742,1594699
743,1594934
744,1595105
745,1595810
746,1595862
747,1595863
748,1596361
749,1596526
750,1596597
751,1596924
752,1597239
753,1597343
